FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
NH,1,2.142857143,L,L,L,W,W,W,-0.6428571429,1.785714286,-0.6428571429,17
NH,0.7142857143,1.642857143,L,L,L,D,W,W,-0.2857142857,0.2142857143,-0.5,4
NH,1.428571429,1.214285714,D,W,L,D,L,W,0.1428571429,-0.2142857143,-0.07142857143,4
H,1,1.571428571,D,W,L,L,W,W,-0.5,0.3571428571,-0.3571428571,9
H,1.214285714,1.714285714,L,W,L,W,L,W,-0.2142857143,0.5714285714,-0.4285714286,6
NH,0.7857142857,1.5,L,L,L,W,L,W,-1.071428571,0.3571428571,-0.5,-4
NH,1.285714286,1.214285714,L,W,L,D,L,W,-0.07142857143,-0.2142857143,-0.1428571429,11
NH,0.7333333333,1.533333333,L,L,L,D,L,W,-1.066666667,0.3333333333,-0.6666666667,8
NH,0.6666666667,2.2,W,D,D,W,W,W,-0.6666666667,1.733333333,-0.6666666667,15
H,1.2,1.133333333,W,W,L,L,D,L,-0.2,0.3333333333,0.1333333333,8
NH,0.9333333333,1.6,L,L,L,W,W,L,-0.6666666667,0.4,-0.6,0
NH,0.6666666667,0.4666666667,L,L,L,L,L,L,-0.4666666667,-1.133333333,-0.06666666667,-5
NH,1.133333333,1.2,W,D,W,W,W,D,-0.3333333333,0.2,-0.2,6
H,1.333333333,1.733333333,W,L,W,W,D,W,-0.1333333333,0.4,-0.06666666667,2
H,1.466666667,1.866666667,W,L,D,L,D,W,0.1333333333,0.7333333333,-0.1333333333,1
H,1.333333333,1.6,L,D,W,L,W,L,0.06666666667,0.4666666667,-0.3333333333,7
H,1.866666667,1.133333333,L,D,W,W,D,W,0.7333333333,-0.3333333333,0.2,-13
NH,1.5,1.4375,D,D,L,W,L,D,0.3125,0.125,0.0625,-5
H,0.5,0.75,D,L,L,D,L,L,-1.0625,-1,0.0625,3
NH,1.6875,0.625,W,W,W,L,W,D,0.4375,-0.8125,0.4375,2
H,1.625,1.375,L,W,D,L,W,L,0.1875,0,0.1875,5
H,1.5,1.3125,L,L,W,L,W,L,0.375,0,0,-14
H,2.25,1.4375,W,W,W,W,W,L,1.8125,0.0625,0.375,-9
H,1.3125,0.6875,W,W,W,D,L,L,0.25,-0.4375,0.75,-3
H,1.0625,0.875,L,L,D,L,L,L,0.25,-0.6875,0.25,-13
H,1.4375,1.3125,W,W,D,W,W,W,-0.0625,-0.125,0.0625,-6
H,1.75,1.4375,L,L,D,W,L,D,0.625,0.125,0,-9
